RegNum,'Form','Genus','Species','Country','State','Precise Location','Latitude','Longitude','Date Collected','Date Registered',Sex,Age
M.11753,SPIRIT AND SKULL,Rattus,tunneyi,Australia,Queensland,ARCHOOKOORA FORESTRY STATION KINGAROY,"26° 32' "" S","151° 50' "" E",11/16/72,2/17/81,Male,Adult
M.11764,SPIRIT AND SKULL,Melomys,burtoni,Australia,New South Wales,"Station Ck, Minnie Waters, 37 miles N of Coffs Harbour","29° 56' "" S","153° 13' "" E",1/6/74,2/19/81,Male,Adult
M.11765,SPIRIT AND SKULL,Melomys,burtoni,Australia,Queensland,FRITZ CK BLOOMFIELD PARK 10 KM N BLOOMFIELD,"15° 51' "" S","145° 21' "" E",12/3/75,2/19/81,Male,Adult
M.11767,SPIRIT AND SKULL,Melomys,burtoni,Australia,Queensland,FRITZ CK BLOOMFIELD PARK 10 KM N BLOOMFIELD,"15° 51' "" S","145° 21' "" E",12/3/75,2/19/81,Male,Juvenile
M.11768,SPIRIT AND SKULL,Melomys,burtoni,Australia,Queensland,FRITZ CK BLOOMFIELD PARK 10 KM N BLOOMFIELD,"15° 51' "" S","145° 21' "" E",12/3/75,2/19/81,Male,Juvenile
M.11851,"skeleton, skull",Rattus,lutreolus,Australia,Victoria,Gembrook State Forest 70kms SE of Melbourne,"38° 01' "" S","145° 40' "" E",3/20/81,4/1/81,Female,Adult
M.11853,"skeleton, skull",Rattus,lutreolus,Australia,Victoria,Gembrook State Forest 70kms SE of Melbourne,"38° 01' "" S","145° 40' "" E",3/22/81,4/1/81,Male,Juvenile
M.11892,"Skin, skull, no mandibles",Mastacomys,fuscus,Australia,Victoria,Gembrook State Forest 70 kms SE of Melbourne,"38° 01' "" S","145° 40' "" E",3/24/81,4/3/81,Male,Adult
M.11895,"skull, skin",Rattus,lutreolus,Australia,Victoria,Gembrook State Forest 70kms SE of Melbourne,"38° 01' "" S","145° 40' "" E",3/23/81,4/3/81,Male,Juvenile
M.1232,Skin skull in situ,Uromys,caudimaculatus,Australia,Queensland,BLOOMFIELD RIVER COOKTOWN,"15° 58' "" S","145° 19' "" E",,1/0/00,,
M.1234,SKIN SKULL,Melomys,burtoni,Australia,Queensland,BLOOMFIELD RIVER COOKTOWN,"15° 58' "" S","145° 19' "" E",,1/0/00,,
M.12346,"Spirit, skull",Pseudomys,oralis,Australia,New South Wales,"Hastings Forest Way, Mt Boss State Forest, 60 km NW of Wauchope.","31° 11' "" S","152° 20' "" E",10/23/81,11/27/81,Male,Adult
M.1235,SKIN SKULL,Rattus,rattus,Australia,Queensland,BLOOMFIELD RIVER COOKTOWN,"15° 58' "" S","145° 19' "" E",,1/0/00,,
M.1235.001,Dry,Rattus,rattus,Australia,Queensland,BLOOMFIELD RIVER COOKTOWN,"15° 58' "" S","145° 19' "" E",,10/25/10,,
M.12520.001,Skull,Uromys,hadrourus,Australia,Queensland,"Thornton Peak, North Queensland.","16° 10' 30"" S","145° 21' 45"" E",,,Female,Adult
M.12521.001,Skull,Uromys,hadrourus,Australia,Queensland,"McDowall Range, Northeastern Queensland.","16° 10' 15"" S","145° 22' 00"" E",11/13/75,,Male,subadult
M.12529,Skull,Rattus,lutreolus,Australia,New South Wales,"Waterfall, S of Sydney","34° 08' "" S","151° 00' "" E",,8/27/82,,
M.12543,SPIRIT SKULL,Melomys,cervinipes,Australia,New South Wales,"Apsley R area, 50 km E of Walcha","31° 06' "" S","152° 00' "" E",10/23/82,1/4/83,Male,Adult
M.12544.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Apsley R area, 50 km E of Walcha","31° 06' "" S","152° 00' "" E",10/23/82,1/4/83,Male,Adult
M.12552.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, 3 km S of Raymond Terrace, Hunter Valley","32° 48' "" S","151° 44' "" E",2/16/82,1/11/83,Male,Adult
M.12553.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, 3 km S of Raymond Terrace, Hunter Valley","32° 48' "" S","151° 44' "" E",2/17/82,1/11/83,Female,Adult
M.12554.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, 3 km S of Raymond Terrace, Hunter Valley","32° 48' "" S","151° 44' "" E",2/17/82,1/11/83,Male,Adult
M.12555.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, 3 km S of Raymond Terrace, Hunter Valley.","32° 48' "" S","151° 44' "" E",2/18/82,1/11/83,Male,Adult
M.12556.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, 3 km S of Raymond Terrace, Hunter Valley","32° 48' "" S","151° 44' "" E",2/18/82,1/11/83,Male,Adult
M.12557.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, 10 km E of Raymond Terrace, Hunter Valley.","32° 46' "" S","151° 53' "" E",3/4/82,1/11/83,Female,Adult
M.12558.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, 12 km E of Raymond Terrace, Hunter Valley","32° 46' "" S","151° 54' "" E",3/4/82,1/11/83,Male,Adult
M.12559.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, 10 km E of Raymond Terrace, Hunter Valley.","32° 46' "" S","151° 53' "" E",3/5/82,1/11/83,Male,Adult
M.12560.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, 11 km E of Raymond Terrace, Hunter Valley.","32° 46' "" S","151° 54' "" E",3/5/82,1/11/83,Male,Adult
M.12561.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, 11 km E of Raymond Terrace, Hunter Valley.","32° 46' "" S","151° 54' "" E",3/5/82,1/11/83,Male,Adult
M.12562.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, E of Raymond Terrace, Hunter Valley","32° 46' "" S","151° 55' "" E",7/1/82,1/11/83,Male,Adult
M.12563.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, E of Raymond Terrace, Hunter Valley.","32° 46' "" S","151° 55' "" E",6/30/82,1/11/83,Male,Adult
M.12564.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Tomago Sandbeds, E of Raymond Terrace, Hunter Valley.","32° 46' "" S","151° 55' "" E",6/30/82,1/11/83,Male,Adult
M.12565,"SKIN, SKULL",Rattus,lutreolus,Australia,New South Wales,"Tomago Sandbeds, 9 km E of Raymond Terrace, Hunter Valley","32° 46' "" S","151° 53' "" E",3/5/82,1/17/83,Male,Adult
M.12566,"SKIN, SKULL",Rattus,lutreolus,Australia,New South Wales,"Tomago Sandbeds, 9 km E of Raymond Terrace, Hunter Valley","32° 46' "" S","151° 53' "" E",3/4/82,1/17/83,Female,Adult
M.12567,"SKIN, SKULL",Rattus,lutreolus,Australia,New South Wales,Myall Lake National Park,"32° 28' "" S","152° 24' "" E",6/7/80,1/17/83,Male,Adult
M.12568,"SKIN, SKULL",Rattus,fuscipes,Australia,New South Wales,Myall Lake National Park,"32° 28' "" S","152° 24' "" E",7/17/74,1/18/83,Female,Adult
M.12570,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Smith Lake, Myall Lake National Park","32° 23' "" S","152° 29' "" E",4/24/75,1/18/83,Male,Juvenile
M.12571,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,Myall Lake National Park,"32° 28' "" S","152° 24' "" E",4/23/75,1/18/83,Female,Juvenile
M.12572,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Smith Lake, Myall Lake National Park","32° 23' "" S","152° 29' "" E",4/23/75,1/18/83,Female,Juvenile
M.12573,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Kurri Kurri, Hunter Valley, S of Raymond Terrace","32° 49' "" S","151° 29' "" E",,1/18/83,Female,Adult
M.12574,"Skin, skull",Mus,musculus,Australia,New South Wales,Myall Lake National Park,"32° 28' "" S","152° 24' "" E",6/17/74,1/18/83,,Adult
M.12575,"Skin, skull",Mus,musculus,Australia,New South Wales,Myall Lake National Park,"32° 28' "" S","152° 24' "" E",6/14/74,1/18/83,,Adult
M.12580,Skin skull,Hydromys,chrysogaster,Australia,New South Wales,"Hunter River, Tomago, S of Raymond Terrace","32° 49' "" S","151° 44' "" E",4/7/82,1/18/83,Male,Adult
M.12581,Skin skull,Hydromys,chrysogaster,Australia,New South Wales,"Hunter River, Tomago, S of Raymond Terrace","32° 49' "" S","151° 44' "" E",4/6/82,1/19/83,Female,Adult
M.12680.001,Skull,Rattus,fuscipes,Australia,New South Wales,Bega,"36° 41' "" S","149° 51' "" E",,7/6/83,Female,Juvenile
M.12680.002,Skeleton,Rattus,fuscipes,Australia,New South Wales,Bega,"36° 41' "" S","149° 51' "" E",,7/6/83,Female,Juvenile
M.12744,SPIRIT SKIN DRY SKL,Melomys,burtoni,Australia,New South Wales,"Belongil Ck, 5 km N of Byron Bay","28° 38' "" S","153° 34' "" E",,9/8/83,Female,Adult
M.12778,"Skin, skull",Mus,musculus,Australia,Queensland,8 km N Mirrica Bore Ethabuka Station.,"23° 44' "" S","138° 28' "" E",11/19/83,1/16/84,Male,Adult
M.12782,SPIRIT SKULL,Pseudomys,hermannsburgensis,Australia,Queensland,8KM N MIRRICA BORE ETHABUKA STATION,"23° 44' "" S","138° 28' "" E",11/20/83,1/16/84,Male,Adult
M.12827,Skull,Pseudomys,oralis,Australia,New South Wales,"Carrow Brook, 40 km N of Singleton.","32° 17' "" S","151° 18' "" E",12/31/83,4/19/84,,
M.1298.001,Skull,Zyzomys,pedunculatus,Australia,Northern Territory,Alice Springs,"23° 42' "" S","133° 52' "" E",,1/0/00,,
M.1299.001,Skull,Notomys,longicaudatus,Australia,,Urwaitcha Burrows.,,,,1/0/00,,
M.1301,skin skull,Notomys,alexis,Australia,Northern Territory,CHARLOTTE WATERS AND ALICE SPRINGS,"25° 56' "" S","134° 53' "" E",,1/0/00,,
M.1303,spirit and skull,Notomys,fuscus,Australia,Northern Territory,CHARLOTTE WATERS AND ALICE SPRINGS,"25° 56' "" S","134° 53' "" E",,1/0/00,,
M.1306.001,Skull,Pseudomys,desertor,Australia,Northern Territory,"Wycliffe Ck, Central Australia","20° 40' 59"" S","134° 31' 01"" E",,1/0/00,Male,Young adult
M.1308,"Skin, skull",Notomys,alexis,Australia,Northern Territory,CENTRAL AUSTRALIA,,,,1/0/00,,
M.1309,"Skin, skull",Notomys,alexis,Australia,,Central Australia,,,,1/0/00,,
M.1310,SKIN SKULL,Notomys,cervinus,Australia,,Central Australia,,,,1/0/00,,
