Reg,RegNum,Scientific Name,Species Common Name,Sex,Collection Locality,Date Collected,Collector,Specimen Notes,Notes,Specimen Form,Specimen Part,Current Location,Age,Stage,Total Length,Hindfoot Length,Ear Length,Unit,Weight,Unit of Weight
C,32013,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Cambarville (37 33 S, 145 53 E)",21/10/1982,"Craig, S A",,Died of exposure in trap,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236302),,,326,34.4,23.4,mm,100,grams
C,31987,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Cambarville, O'Shannassy Catchment (37 40 S, 145 48 E)",29/05/1980,"Cherry, K A",,Heavy fat deposits along uteres and around ovaries,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236302),,,332,31,25,mm,163,grams
C,32009,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Arnold Creek track (37 31 S, 145 57 E)",25/06/1980,"Warneke, R M",,"Slight abdomen, no visceral fat",Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236302),,,335,33,25.5,mm,132,grams
C,32011,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Captive (Healesville Sanctuary)",15/04/1980,"Seebeck, J H",female - adult,Mx02 locality?,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236302),Adult,,335,33,28,mm,112,grams
C,32005,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Captive (Healesville Sanctuary)",15/04/1980,"Seebeck, J H",male - juvenile,Mx02 locality?,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236302),,,262,31.5,25,mm,74.6,grams
C,32015,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Bellell Creek, site 71 (37 32 S, 145 50 E)",18/06/1981,"Seebeck, J H",,"Tail docked by trap, bled to death or exposure?",Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236302),,,265,33,23,mm,133,grams
C,32014,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Bellell Creek, site 71 (37 32 S, 145 50 E)",16/12/1981,"Seebeck, J H",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236302),,,295,35.5,24,mm,158,grams
C,32059,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Bellell Creek (37 32 S, 145 50 E)",23/06/1980,"Seebeck, J H",,"Found dead in grass, cause of death not determined, wound in thoracic cavity",Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236305),,,349,33,25,mm,137,grams
C,32055,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Cambarville (37 33 S, 145 53 E)",21/10/1982,"Craig, S A",,Died of exposure in trap,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236305),,,331,33.2,25,mm,150,grams
C,32056,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Cambarville (37 33 S, 145 53 E)",20/10/1982,"Craig, S A",,Died due to exposure,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236305),,,331,32.7,23.6,mm,110,grams
