Orig Order,Prefix,Reg Number,Suffix,Preceeding Numbers,Other Numbers,Date Catalogued,Catalogued by,Form of Object,Kind of Object,Family,Genus,Species,Subspecies,Type Status,ID Confidence,Identified by,Date Identified,ID Comments,ID Current,Date Collected,Origin Of Specimen,Age Of Material,Collector,Expedition Name,Site Code,Latitude (DMS),Latitude Dec,Longitude (DMS),Longitude Dec,Precision,Determination,Datum,Other Datum,Country,Province/State/Territory,Location,Nearest Named Place,Special Geographic Unit,Method Of Capture,Tissues Collected,ABTC Number,Preservative,Fixative,How Acquired,Acquisition Date,Name of Source,Current Location,Permanent Location,Mammal Age,Sex,Reproductive Condition,Weight,Weight Unit,Weight Age Comments,Head Length,Head/Body Length,Tail Length,Hindfoot Length,Ear/Notch Length,Forearm Length,Total Length,Measurement Unit,Habitat,Notes,Itemised Notes
111,M,8224,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,Big Heath Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,81,106,21.7,16.3,,187,mm,,Other Measurements: T.L. 187mm,
112,M,8225,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,96,30,21.9,17.5,,126,mm,,"Tail damaged.
Other Measurements: T.L. 126mm",
113,M,8226,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,Big Heath Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,82,98,20.2,16.2,,180,mm,,Other Measurements: T.L. 180mm,
114,M,8227,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,Big Heath Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,84,92,22.0,17.8,,176,mm,,"Tail slightly damaged.
Other Measurements: T.L. 176mm",
115,M,8228,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,Big Heath Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,87,106,21.6,17.3,,193,mm,,Other Measurements: T.L. 193mm,
116,M,8229,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,88,98,20.5,15.9,,186,mm,,Other Measurements: T.L. 186mm,
123,M,8996,,,,1973-11-02,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1973-05-21,2,I,"James, C T",,,35 49 30 S,-35.8250,139 23 00 E,139.3833,4 (within 10 minutes),,,,Australia,South Australia,"S, 11 miles (= ""Belacre"")",Meningie,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,84.7,104.8,21.8,18.8,,189.5,mm,,Other Measurements: T.L. 189.5mm,
135,M,9484,,,,1975-09-01,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1975-01-01,,I,FNSSA Mammal Club,,,36 49 00 S,-36.8167,140 25 00 E,140.4167,4 (within 10 minutes),,,,Australia,South Australia,,Fairview Conservation Park,Fairview Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,,,,,,,,In open forest of E. leucoxylon with understorey of grass & sparse Melaleuca halmatorium. Open forest of E. leucoxylon with understorey of grass & sparse Melaleuca halmatorium.,,
137,M,9551,,W2631,W2631,1975-09-17,,(MS)C,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,1,,,,Yes,1969-10-11,,I,"Aitken, P F",,,36 08 00 S,-36.1333,141 27 00 E,141.4500,5 (within 30 minutes),,,,Australia,Victoria,Pigick (near Yanac),Yanac,,,,,,,C,,,,[DC],Adult,Female,,,,,,82,107,22,19,,189,mm,,"Mounted skin missing on 20.vi.1986 [G.P. Browning]. On temporary visual storage in blue room Level 2 [M. Long June 2000]
Other Measurements: T.L. 189mm",
146,M,10933,,NPWS 14,NPWS 14,1981-06-12,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1975-07-31,2,I,"Henderson, R - NPWS",,,35 45 00 S,-35.7500,140 39 00 E,140.6500,4 (within 10 minutes),,,,Australia,South Australia,"NW, 10 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Male,,,,,,89,109,22.0,18.5,,198,mm,,Other Measurements: T.L. 198mm,
